configurationID,aud,constrained-intra,intra-refresh,no-asm,slow-firstpass,weightb,aq-strength,ipratio,pbratio,psy-rd,qblur,qcomp,vbv-init,aq-mode,b-adapt,bframes,crf,keyint,lookahead-threads,min-keyint,qp,qpstep,qpmin,qpmax,rc-lookahead,ref,vbv-bufsize,deblock,me,overscan,preset,scenecut,tune,size,user,system,elapsedtime,cpu,fps,kbs
1012,--aud,None,None,None,None,--no-weightb,3.0,1.2,1.1,1.4,0.6,0.9,0.8,1,0,2,0,290,4,30,50,3,4,68,28,1,1000,-2:-2,dia,show,ultrafast,40,animation,391280,2.07,0.24,0:00.62,373,993.37,154.23
1013,None,--constrained-intra,None,--no-asm,None,--no-weightb,3.0,1.0,1.2,1.2,0.6,0.9,0.9,3,0,12,25,290,2,22,20,4,0,67,18,1,1000,1:1,umh,show,faster,10,ssim,10819754,250.47,0.27,0:32.46,772,15.47,4326.17
1014,None,None,None,--no-asm,--slow-firstpass,--no-weightb,2.0,1.1,1.4,0.4,0.3,0.6,0.7,1,1,10,15,290,3,23,50,5,0,60,38,3,1000,-2:-2,umh,show,veryslow,10,animation,297867,201.04,0.36,0:28.13,715,17.87,116.99
1015,--aud,None,None,--no-asm,--slow-firstpass,--no-weightb,1.5,1.3,1.2,4.2,0.3,0.8,0.4,3,0,16,30,280,3,20,10,5,2,60,38,5,2000,-1:-1,dia,show,veryfast,40,ssim,25145418,95.93,0.24,0:12.61,762,40.21,10056.52
1016,None,--constrained-intra,None,--no-asm,None,--no-weightb,2.5,1.1,1.3,2.4,0.5,0.6,0.8,0,1,0,35,210,4,26,20,4,0,64,38,6,2000,-2:-2,hex,show,fast,0,animation,8811125,188.26,0.34,0:26.52,711,19.00,3523.24
1017,None,None,None,--no-asm,--slow-firstpass,--weightb,0.5,1.6,1.3,2.0,0.3,0.8,0.5,1,2,8,35,230,3,28,0,4,2,63,48,5,2000,-1:-1,umh,crop,slower,40,ssim,42557659,420.10,0.42,0:59.69,704,8.41,17021.85
1018,None,None,None,None,None,--no-weightb,3.0,1.1,1.1,0.4,0.6,0.6,0.6,3,1,14,5,200,0,27,40,3,3,67,18,5,1000,-2:-2,dia,show,slower,0,ssim,1170358,24.90,0.26,0:03.65,688,141.88,466.00
1019,None,None,None,--no-asm,--slow-firstpass,--no-weightb,2.0,1.2,1.2,3.4,0.4,0.8,0.9,1,2,2,40,250,2,25,20,4,2,60,38,3,2000,1:1,umh,crop,fast,40,animation,8174448,285.28,0.32,0:37.33,764,13.43,3267.58
1020,None,--constrained-intra,None,--no-asm,None,--weightb,0.5,1.6,1.3,3.2,0.4,0.7,0.7,3,1,10,35,280,0,26,20,4,4,62,18,5,2000,1:1,hex,crop,slow,40,animation,8180480,230.45,0.42,0:30.98,745,16.20,3270.04
103,None,--constrained-intra,None,None,None,--no-weightb,0.0,1.0,1.0,3.0,0.5,0.9,0.5,0,1,10,5,270,2,29,10,3,1,60,18,1,1000,-2:-2,umh,crop,fast,40,animation,19851424,28.88,0.37,0:04.20,695,125.08,7938.41
1021,--aud,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,3.0,1.0,1.2,0.4,0.4,0.9,0.2,2,2,0,25,230,2,21,30,4,4,67,48,3,2000,-1:-1,hex,crop,slower,40,grain,3305659,182.83,0.35,0:25.71,712,19.55,1321.05
1022,None,--constrained-intra,None,--no-asm,--slow-firstpass,--no-weightb,2.5,1.2,1.1,4.8,0.3,0.6,0.7,0,1,12,0,210,3,24,10,3,0,68,18,2,2000,-2:-2,dia,show,medium,0,grain,19637585,144.38,0.44,0:19.03,761,26.56,7852.86
1023,None,None,None,None,--slow-firstpass,--weightb,3.0,1.1,1.3,5.0,0.5,0.6,0.6,3,1,8,5,280,1,20,50,3,2,63,38,1,2000,-2:-2,umh,show,slower,30,ssim,279041,11.67,0.18,0:02.22,534,241.68,109.48
1024,None,--constrained-intra,None,None,None,--no-weightb,2.0,1.1,1.2,2.4,0.2,0.9,0.3,1,0,16,45,220,4,26,10,5,2,60,38,2,2000,-1:-1,hex,crop,slower,40,grain,24563290,129.19,0.31,0:17.23,751,29.43,9823.67
1025,None,None,None,None,None,--weightb,3.0,1.6,1.0,3.8,0.5,0.9,0.7,1,2,4,45,240,0,25,40,5,4,64,38,1,2000,1:1,dia,crop,veryfast,40,psnr,1287750,8.91,0.45,0:02.59,361,203.93,512.88
1026,None,--constrained-intra,None,None,None,--no-weightb,0.0,1.2,1.1,1.6,0.4,0.9,0.6,0,0,10,50,280,3,22,40,4,2,64,38,4,2000,-2:-2,dia,crop,medium,0,grain,1578451,15.80,0.18,0:02.33,686,227.96,629.56
1027,--aud,None,None,--no-asm,None,--weightb,0.5,1.2,1.3,1.4,0.3,0.8,0.8,2,0,16,25,200,1,27,50,4,0,65,18,5,2000,1:1,hex,crop,faster,0,animation,456622,62.08,0.18,0:08.22,757,61.86,181.03
1028,--aud,None,None,None,--slow-firstpass,--no-weightb,3.0,1.1,1.0,1.8,0.3,0.9,0.8,0,1,0,15,230,1,21,40,5,4,62,38,2,2000,1:1,dia,crop,veryfast,10,grain,1685608,4.89,0.17,0:00.97,522,568.46,673.03
1029,--aud,None,None,None,--slow-firstpass,--weightb,2.0,1.1,1.4,2.2,0.6,0.8,0.5,3,0,14,15,240,4,29,10,4,3,61,18,2,2000,-1:-1,hex,crop,ultrafast,10,ssim,30656927,19.28,0.24,0:02.90,672,188.24,12261.09
1030,--aud,--constrained-intra,None,--no-asm,None,--no-weightb,1.0,1.2,1.0,2.4,0.4,0.7,0.4,2,2,10,5,240,3,24,10,3,4,62,18,4,2000,-2:-2,hex,show,slower,10,grain,20287007,327.97,0.99,0:46.03,714,10.90,8112.62
104,None,--constrained-intra,None,None,None,--no-weightb,1.5,1.5,1.3,3.4,0.4,0.8,0.3,1,2,10,45,200,2,25,10,5,1,63,18,4,1000,-1:-1,dia,show,superfast,30,psnr,22988696,14.08,0.50,0:04.30,339,122.08,9192.99
1031,--aud,None,None,--no-asm,--slow-firstpass,--weightb,0.5,1.0,1.4,5.0,0.5,0.8,0.1,3,1,12,35,290,4,24,50,4,4,65,48,3,1000,1:1,dia,show,slow,30,psnr,276944,61.43,0.45,0:08.85,699,57.40,108.63
1032,--aud,--constrained-intra,None,--no-asm,None,--weightb,2.5,1.3,1.2,2.6,0.2,0.8,0.2,1,2,2,0,300,1,26,10,5,0,65,18,3,2000,-1:-1,dia,crop,ultrafast,30,animation,30266185,55.77,0.27,0:08.27,677,62.52,12104.03
1033,--aud,--constrained-intra,None,None,--slow-firstpass,--weightb,2.0,1.6,1.4,3.8,0.6,0.9,0.2,2,1,4,20,200,2,30,40,5,4,64,38,1,2000,-1:-1,hex,show,placebo,0,animation,1383880,19.75,0.25,0:02.99,667,175.16,551.36
1034,--aud,None,None,--no-asm,None,--no-weightb,2.0,1.3,1.0,1.2,0.6,0.7,0.3,1,2,10,50,210,1,29,30,5,4,67,38,3,1000,-1:-1,dia,crop,medium,0,ssim,3259206,125.16,0.27,0:39.65,316,12.66,1301.51
1035,None,None,None,--no-asm,--slow-firstpass,--no-weightb,3.0,1.1,1.2,2.8,0.5,0.9,0.4,0,1,14,25,250,3,24,0,4,2,69,28,1,2000,-1:-1,umh,show,medium,0,grain,44443885,125.55,0.36,0:18.17,692,27.82,17776.35
1036,None,--constrained-intra,None,--no-asm,None,--weightb,3.0,1.4,1.2,2.2,0.5,0.9,0.0,2,0,4,5,270,3,23,40,3,4,64,48,6,1000,-2:-2,hex,crop,veryslow,0,psnr,1069451,162.68,0.31,0:21.91,743,22.92,425.27
1037,--aud,--constrained-intra,None,None,None,--no-weightb,1.0,1.5,1.0,2.4,0.3,0.6,0.8,0,0,16,40,260,1,29,30,4,4,61,48,3,1000,-1:-1,umh,show,superfast,10,psnr,4932554,7.92,0.15,0:01.29,626,430.55,1971.40
1038,--aud,None,None,--no-asm,None,--weightb,0.0,1.4,1.2,0.4,0.3,0.8,0.2,2,1,12,40,210,0,26,40,3,0,64,18,3,1000,-2:-2,umh,show,slow,30,grain,1249037,233.66,0.29,0:32.28,724,15.54,497.47
1039,--aud,--constrained-intra,None,None,--slow-firstpass,--no-weightb,0.5,1.6,1.4,2.4,0.2,0.9,0.0,3,1,14,30,230,0,22,10,4,0,68,38,5,1000,-2:-2,dia,crop,ultrafast,40,ssim,30033917,20.30,0.28,0:03.13,656,173.17,12011.22
1040,--aud,None,None,None,None,--weightb,2.5,1.3,1.0,3.6,0.5,0.7,0.9,2,2,2,20,250,0,27,0,5,0,63,48,3,2000,1:1,hex,crop,slower,10,ssim,42613463,46.76,0.31,0:07.29,645,71.71,17044.18
105,--aud,None,None,None,--slow-firstpass,--no-weightb,2.5,1.0,1.3,3.4,0.3,0.6,0.2,3,0,8,10,220,2,20,0,4,0,68,48,1,1000,-2:-2,umh,show,faster,10,animation,45255132,16.91,0.32,0:02.92,589,195.61,18100.85
1041,--aud,--constrained-intra,None,--no-asm,None,--no-weightb,1.5,1.5,1.1,4.4,0.3,0.9,0.9,2,2,4,20,250,3,22,30,4,0,67,38,6,1000,-2:-2,hex,show,veryfast,10,animation,3484913,97.07,0.44,0:15.08,646,33.46,1391.78
1042,--aud,None,None,None,None,--no-weightb,3.0,1.0,1.4,3.6,0.4,0.6,0.4,0,0,0,10,210,1,24,10,3,1,66,18,5,1000,-1:-1,umh,show,veryfast,0,ssim,21230224,18.81,0.29,0:02.95,647,182.77,8490.88
1043,None,None,None,None,None,--weightb,2.5,1.0,1.3,1.0,0.3,0.6,0.9,1,0,2,15,250,0,26,40,5,0,63,28,5,1000,-1:-1,hex,crop,ultrafast,0,animation,1412711,3.07,0.14,0:00.65,488,943.11,562.79
1044,--aud,--constrained-intra,None,None,None,--weightb,2.0,1.4,1.1,4.4,0.5,0.7,0.7,0,0,12,30,240,4,27,0,3,3,64,28,3,1000,1:1,umh,crop,superfast,30,animation,48829469,13.85,0.32,0:02.47,573,235.17,19530.58
1045,None,None,None,--no-asm,None,--weightb,2.5,1.4,1.2,4.2,0.5,0.8,0.5,2,1,2,40,270,1,23,0,5,4,62,28,2,1000,-2:-2,umh,crop,veryfast,30,grain,44726994,115.85,0.35,0:15.97,727,31.98,17889.59
1046,--aud,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,1.0,1.0,1.0,0.6,0.3,0.8,0.7,2,0,8,45,260,4,27,50,3,3,65,18,6,1000,-1:-1,hex,show,slower,0,psnr,340873,96.02,0.24,0:12.76,754,39.59,134.40
1047,--aud,None,None,None,--slow-firstpass,--weightb,3.0,1.2,1.2,4.6,0.4,0.6,0.4,3,2,8,10,280,2,29,50,5,4,67,48,1,2000,-2:-2,hex,show,veryslow,0,psnr,265360,16.26,0.56,0:05.72,294,88.94,103.95
1048,None,--constrained-intra,None,None,--slow-firstpass,--no-weightb,2.0,1.3,1.3,1.4,0.5,0.6,0.1,2,2,8,40,260,3,29,20,3,4,62,38,1,2000,-2:-2,hex,show,superfast,40,psnr,9544874,10.51,0.63,0:02.92,381,181.81,3815.42
1049,None,None,None,None,--slow-firstpass,--no-weightb,2.0,1.1,1.2,2.8,0.4,0.6,0.1,2,2,4,40,290,4,28,20,5,2,69,18,2,1000,1:1,hex,show,medium,30,animation,8129492,29.64,0.61,0:04.58,659,113.03,3249.61
1050,None,--constrained-intra,None,None,None,--no-weightb,1.0,1.4,1.1,1.0,0.3,0.9,0.9,3,2,2,0,210,0,27,30,3,1,64,18,1,2000,-1:-1,hex,crop,superfast,30,ssim,3736609,5.00,0.33,0:01.25,426,442.64,1492.22
106,--aud,--constrained-intra,None,None,None,--no-weightb,2.5,1.4,1.3,2.8,0.6,0.8,0.4,0,2,6,50,220,3,30,40,3,4,68,38,4,2000,-1:-1,umh,crop,medium,40,grain,1389890,30.57,0.52,0:05.21,596,98.67,553.78
1051,None,--constrained-intra,None,None,--slow-firstpass,--weightb,2.5,1.1,1.3,2.6,0.3,0.6,0.9,3,2,8,30,240,1,21,10,3,2,63,28,5,2000,-2:-2,umh,show,slow,10,ssim,17401016,81.62,0.33,0:12.25,668,41.41,6958.23
1052,None,None,None,None,--slow-firstpass,--weightb,1.0,1.6,1.2,0.4,0.2,0.7,0.4,1,0,12,5,210,4,28,30,5,2,69,18,3,2000,1:1,dia,crop,medium,10,grain,3692765,23.17,0.32,0:03.53,664,145.93,1475.37
1053,None,None,None,--no-asm,--slow-firstpass,--weightb,1.5,1.4,1.0,2.4,0.3,0.6,0.2,3,1,8,5,210,0,27,10,5,0,67,18,6,2000,-1:-1,hex,crop,placebo,0,grain,19459228,320.54,0.34,0:42.79,749,11.73,7781.54
1054,--aud,--constrained-intra,None,--no-asm,--slow-firstpass,--no-weightb,3.0,1.4,1.3,2.0,0.3,0.9,0.9,0,2,8,5,200,1,24,50,5,4,68,18,4,1000,-2:-2,hex,show,veryfast,10,grain,440700,50.52,0.28,0:30.36,167,16.55,174.10
1055,--aud,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,0.0,1.3,1.0,3.8,0.4,0.9,0.6,0,1,14,10,290,1,27,0,3,1,66,38,4,2000,-1:-1,dia,show,faster,0,psnr,47048439,75.35,0.38,0:10.22,740,49.66,18818.17
1056,None,None,None,None,None,--weightb,0.0,1.5,1.3,3.6,0.4,0.9,0.9,2,0,0,10,200,4,27,30,5,2,62,18,6,2000,-2:-2,hex,show,fast,30,grain,3714025,26.11,0.35,0:04.01,659,128.76,1484.40
1057,None,None,None,None,None,--weightb,1.5,1.3,1.1,2.2,0.4,0.9,0.7,0,1,8,50,240,0,28,40,3,1,68,48,4,2000,1:1,umh,show,faster,40,psnr,1372828,15.30,0.29,0:02.38,653,220.87,547.01
1058,--aud,--constrained-intra,None,None,None,--no-weightb,2.5,1.2,1.3,1.4,0.6,0.6,0.2,1,2,6,50,210,2,24,40,3,1,67,48,4,2000,-1:-1,hex,show,slow,40,grain,1318462,26.41,0.43,0:05.27,508,97.00,525.19
1059,None,None,None,None,--slow-firstpass,--no-weightb,0.0,1.6,1.4,2.8,0.6,0.6,0.0,2,1,6,35,230,3,28,20,5,0,68,38,1,1000,-1:-1,dia,crop,fast,10,animation,7906077,18.64,0.36,0:02.81,674,187.70,3160.26
1060,--aud,None,None,--no-asm,None,--weightb,2.5,1.1,1.0,2.4,0.3,0.6,0.2,0,1,6,15,230,0,23,20,5,0,68,38,6,2000,-2:-2,umh,show,placebo,0,ssim,7487649,636.89,0.39,1:25.40,746,5.86,2992.90
107,None,None,None,--no-asm,--slow-firstpass,--no-weightb,0.5,1.1,1.3,3.6,0.2,0.6,0.8,3,2,0,45,210,2,22,20,5,1,67,18,3,1000,-1:-1,hex,show,slower,40,grain,8963426,230.77,0.28,0:32.29,715,15.55,3584.16
1061,--aud,--constrained-intra,None,None,--slow-firstpass,--weightb,2.0,1.3,1.4,2.8,0.4,0.9,0.0,3,0,12,0,280,2,28,50,5,2,61,28,5,2000,-2:-2,dia,show,slow,10,ssim,253296,8.69,0.30,0:01.61,558,331.36,99.58
1062,--aud,--constrained-intra,None,None,None,--weightb,0.5,1.6,1.3,1.0,0.4,0.8,0.2,2,0,8,45,260,0,27,20,3,4,61,18,6,2000,-2:-2,dia,crop,medium,10,grain,9637953,37.16,0.30,0:04.97,753,102.78,3853.23
1063,--aud,None,None,None,--slow-firstpass,--weightb,2.5,1.2,1.3,0.2,0.6,0.7,0.6,3,0,0,45,250,0,22,30,5,0,64,18,6,1000,-1:-1,dia,show,faster,40,ssim,3851243,12.20,0.32,0:01.97,633,265.88,1539.28
1064,--aud,None,None,--no-asm,None,--no-weightb,1.5,1.0,1.1,0.8,0.4,0.9,0.6,1,2,12,45,270,1,29,10,3,1,61,38,1,1000,-2:-2,hex,show,faster,30,psnr,19395114,100.47,0.24,0:49.18,204,10.20,7755.86
1065,--aud,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,3.0,1.5,1.1,0.8,0.4,0.7,0.0,3,2,6,15,260,0,21,30,3,0,66,28,1,2000,-2:-2,umh,show,fast,30,animation,3442978,194.66,0.56,0:27.41,712,18.34,1375.00
1066,None,None,None,--no-asm,--slow-firstpass,--weightb,3.0,1.2,1.3,0.8,0.6,0.7,0.8,0,2,8,35,210,0,27,0,4,1,66,48,1,2000,-2:-2,umh,show,fast,40,grain,44347907,123.91,0.37,0:17.51,709,28.75,17737.95
1067,--aud,--constrained-intra,None,None,--slow-firstpass,--weightb,2.5,1.0,1.2,3.4,0.2,0.8,0.3,1,0,8,25,300,1,25,30,4,1,65,18,5,1000,-2:-2,hex,show,faster,30,animation,3900790,16.06,0.22,0:02.25,721,235.56,1558.34
1068,None,--constrained-intra,None,None,--slow-firstpass,--weightb,3.0,1.6,1.4,5.0,0.2,0.6,0.7,2,0,14,5,290,2,30,40,5,1,66,38,2,2000,-2:-2,dia,crop,placebo,10,animation,1554153,27.44,0.32,0:04.07,682,126.66,619.99
1069,--aud,None,None,--no-asm,--slow-firstpass,--weightb,3.0,1.4,1.2,4.2,0.2,0.7,0.0,2,2,2,45,220,0,26,30,3,1,60,18,6,2000,1:1,hex,show,medium,0,psnr,3089492,181.57,0.45,0:24.30,748,20.66,1233.62
1070,--aud,None,None,--no-asm,None,--no-weightb,2.0,1.4,1.3,4.4,0.5,0.7,0.4,1,0,16,45,230,3,22,10,3,4,62,18,6,1000,-2:-2,hex,crop,superfast,0,psnr,26035688,67.92,0.23,0:09.15,744,56.08,10412.64
108,None,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,2.0,1.4,1.4,4.8,0.6,0.7,0.5,2,2,0,20,290,3,27,20,5,1,60,38,1,2000,-1:-1,dia,crop,ultrafast,40,grain,15643608,23.81,0.22,0:03.62,664,145.69,6256.23
1071,None,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,1.0,1.5,1.3,1.4,0.5,0.8,0.3,3,2,0,0,300,4,20,40,4,2,66,48,6,1000,-2:-2,dia,crop,placebo,0,grain,1567080,197.00,0.45,0:27.14,727,18.51,625.62
1072,--aud,None,None,None,--slow-firstpass,--no-weightb,0.5,1.0,1.3,3.8,0.6,0.8,0.3,3,1,4,35,230,3,29,0,5,0,61,18,6,1000,-1:-1,hex,show,fast,40,animation,43070353,35.32,0.44,0:05.39,663,98.91,17226.93
1073,None,--constrained-intra,None,None,None,--weightb,3.0,1.4,1.4,2.6,0.6,0.9,0.8,1,2,0,5,290,2,28,50,3,1,60,48,2,1000,-1:-1,hex,crop,veryslow,30,psnr,321122,8.93,0.29,0:01.57,586,347.53,127.24
1074,None,None,None,--no-asm,None,--no-weightb,1.5,1.2,1.1,0.4,0.2,0.6,0.8,2,0,10,30,220,1,25,40,4,1,65,18,5,1000,-2:-2,umh,crop,medium,40,animation,1361485,318.28,0.23,0:41.95,759,11.96,542.76
1075,--aud,None,None,None,None,--no-weightb,0.0,1.4,1.2,0.4,0.5,0.6,0.2,1,1,6,10,200,3,24,40,3,4,62,38,6,2000,-2:-2,umh,show,veryfast,30,ssim,1233572,12.63,0.29,0:02.08,621,255.12,491.30
1076,--aud,--constrained-intra,None,--no-asm,None,--weightb,1.5,1.4,1.3,4.0,0.3,0.7,0.8,2,0,10,0,200,1,28,10,4,2,63,28,2,2000,-2:-2,dia,show,veryfast,10,ssim,24520292,81.33,0.20,0:10.61,767,48.00,9806.28
1077,--aud,--constrained-intra,None,None,None,--no-weightb,2.0,1.3,1.1,3.8,0.2,0.7,0.3,1,2,2,45,210,3,26,50,5,4,61,28,3,2000,1:1,umh,crop,veryslow,40,psnr,300691,19.61,0.33,0:03.07,649,170.48,118.06
1078,None,--constrained-intra,None,None,None,--no-weightb,2.0,1.3,1.3,3.4,0.2,0.7,0.2,3,2,0,20,220,3,29,20,4,1,62,28,3,2000,-2:-2,hex,crop,fast,40,grain,8857670,23.99,0.36,0:03.65,666,142.69,3541.85
1079,None,--constrained-intra,None,None,--slow-firstpass,--weightb,1.0,1.1,1.0,3.8,0.2,0.9,0.1,1,1,4,45,220,2,22,20,4,4,60,38,3,1000,-2:-2,hex,crop,fast,40,psnr,7886812,22.28,0.24,0:03.28,685,159.42,3152.59
1080,--aud,None,None,None,--slow-firstpass,--no-weightb,2.5,1.6,1.4,3.8,0.3,0.7,0.0,0,1,8,0,230,3,29,0,4,3,68,38,2,2000,-2:-2,dia,crop,superfast,10,ssim,46004016,10.95,0.28,0:02.06,543,289.00,18400.40
109,None,--constrained-intra,None,--no-asm,None,--no-weightb,1.0,1.6,1.3,3.6,0.2,0.6,0.3,1,2,16,15,290,3,28,10,4,1,60,18,4,1000,-1:-1,umh,show,veryslow,10,grain,20263304,593.23,1.21,1:23.98,707,5.96,8103.15
1081,None,--constrained-intra,None,--no-asm,--slow-firstpass,--weightb,2.5,1.5,1.3,2.4,0.2,0.6,0.1,0,0,0,15,280,2,29,40,3,2,60,48,6,2000,-2:-2,umh,show,ultrafast,10,psnr,1569298,123.65,0.23,0:20.11,616,25.02,626.51
1082,--aud,--constrained-intra,None,None,--slow-firstpass,--no-weightb,1.5,1.1,1.4,1.2,0.5,0.8,0.3,1,1,14,40,250,1,23,40,4,1,61,28,5,2000,-1:-1,dia,show,veryfast,40,animation,1197153,6.50,0.27,0:01.95,347,276.20,476.74
1083,--aud,--constrained-intra,None,--no-asm,None,--weightb,0.5,1.1,1.0,4.6,0.5,0.6,0.8,0,1,4,50,230,1,22,30,4,0,60,48,2,2000,-1:-1,umh,show,fast,0,psnr,3457448,215.68,0.33,0:28.63,754,17.55,1380.82
1084,None,--constrained-intra,None,None,--slow-firstpass,--no-weightb,3.0,1.4,1.4,2.4,0.2,0.7,0.6,1,1,14,20,250,2,30,10,5,0,66,38,2,2000,1:1,umh,crop,faster,40,psnr,19358976,22.84,0.32,0:03.40,681,156.33,7741.44
1085,--aud,--constrained-intra,None,None,None,--no-weightb,1.0,1.1,1.3,5.0,0.2,0.9,0.1,1,2,16,45,200,0,26,40,4,2,65,48,4,2000,-1:-1,hex,show,veryfast,30,animation,1143386,22.64,1.08,0:08.04,295,63.37,455.18
1086,--aud,--constrained-intra,None,None,--slow-firstpass,--weightb,0.5,1.1,1.2,0.4,0.3,0.8,0.5,2,2,0,35,250,3,25,40,5,4,68,18,5,2000,1:1,dia,show,fast,30,grain,1495161,15.05,0.36,0:02.47,624,213.90,596.85
1087,None,--constrained-intra,None,None,None,--no-weightb,0.0,1.4,1.2,3.2,0.6,0.8,0.8,1,2,6,45,200,4,22,10,4,1,60,48,1,2000,-1:-1,dia,crop,medium,40,grain,18772454,32.16,0.78,0:05.40,609,96.32,7506.74
1088,--aud,None,None,--no-asm,--slow-firstpass,--weightb,0.5,1.4,1.1,2.0,0.5,0.7,0.8,2,1,4,15,260,1,29,40,4,0,65,48,1,2000,-1:-1,dia,show,superfast,30,psnr,1184534,20.74,0.27,0:05.09,412,100.37,471.33
1089,None,--constrained-intra,None,None,None,--no-weightb,1.0,1.5,1.2,1.8,0.6,0.7,0.3,3,2,16,5,230,2,26,40,4,2,65,28,1,2000,-1:-1,umh,crop,ultrafast,0,ssim,1374560,12.64,0.90,0:05.62,240,91.26,547.35
